url,listing_id,category,subcategory,brand,title,price,original_price,has_discount,condition,color,size,description_text,description_length,description_word_count,photo_count,like_count,comment_count,shipping_info,shipping_buyer_pays,seller_username,seller_listing_count,is_sold,scraped_at,cohort_id,category_scraped,has_real_label,sold_within_7_days,label_status,label_source,status,checked_at,category_path,seller_rating_count,brand_clean,size_extracted,size_final,condition_clean,condition_ordinal,desc_is_placeholder,is_price_outlier,is_like_outlier
https://dolap.com/urun/h-m-mavi-jeans-yeni-etiketli-efnanindolabiii-445832624,445832624,,,H&M - M / 38 Beden,H&M Mavi Jeans Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Mavi,PAYLA,H&M Mavi Jeans Yeni & Etiketli Online Satın Al,46,9,7,20,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08 14:54:30.255631,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T18:53:40.565410,,,H&M,M / 38 Beden,PAYLA,Yeni & Etiketli,3,True,False,False
https://dolap.com/urun/bershka-siyah-jeans-yeni-etiketli-efnanindolabiii-445830224,445830224,,,Bershka - M / 38 Beden,Bershka Siyah Jeans Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Siyah,PAYLA,Bershka Siyah Jeans Yeni & Etiketli Online Satın Al,51,9,5,7,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08 14:54:48.016793,20250712,kazak,True,0.0,active,official_labels_jsonl,active,2026-03-15T18:54:03.489386,,,Bershka,M / 38 Beden,PAYLA,Yeni & Etiketli,3,True,False,False
https://dolap.com/urun/koton-cicek-desenli-bluz-yeni-etiketli-efnanindolabiii-445826634,445826634,,,Koton - M / 38 Beden,Koton Çiçek Desenli Bluz Yeni & Etiketli Online Satın Al,150.0,,False,Yeni ve Etiketli,Çiçek Desenli,PAYLA,Koton Çiçek Desenli Bluz Yeni & Etiketli Online Satın Al,56,10,4,1,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08 14:55:08.718800,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T18:54:19.158339,,,Koton,M / 38 Beden,PAYLA,Yeni & Etiketli,3,True,False,False
https://dolap.com/urun/bershka-siyah-deri-ceket-yeni-etiketli-efnanindolabiii-445759747,445759747,,,Bershka - S / 36 Beden,Bershka Siyah Deri Ceket Yeni & Etiketli Online Satın Al,249.0,,False,Yeni ve Etiketli,Siyah,PAYLA,Bershka Siyah Deri Ceket Yeni & Etiketli Online Satın Al,56,10,8,2,0,Alıcı Ödemeli Kargo,True,efnanindolabiii,12,False,2026-03-08 14:56:23.222607,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T18:55:57.816955,,,Bershka,S / 36 Beden,PAYLA,Yeni & Etiketli,3,True,False,False
https://dolap.com/urun/mango-siyah-kazak-yeni-etiketli-burcincelikkurt-445816717,445816717,,,Mango - S / 36 Beden,Mango Siyah Kazak Yeni & Etiketli Online Satın Al,475.0,,False,Yeni ve Etiketli,Siyah,,Mango Siyah Kazak Yeni & Etiketli Online Satın Al,49,9,4,9,0,Ücretsiz Kargo,False,burcincelikkurt,33,False,2026-03-08 14:56:37.851003,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T18:56:49.200594,,,Mango,S / 36 Beden,S / 36 Beden,Yeni & Etiketli,3,True,False,False
https://dolap.com/urun/zara-lacivert-kazak-yeni-etiketli-burcincelikkurt-445815976,445815976,,,Zara - S / 36 Beden,Zara Lacivert Kazak Yeni & Etiketli Online Satın Al,550.0,,False,Yeni ve Etiketli,Lacivert,,Zara Lacivert Kazak Yeni & Etiketli Online Satın Al,51,9,3,12,0,Ücretsiz Kargo,False,burcincelikkurt,33,False,2026-03-08 14:56:42.587638,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T18:56:56.200252,,,Zara,S / 36 Beden,S / 36 Beden,Yeni & Etiketli,3,True,False,False
https://dolap.com/urun/stradivarius-kahverengi-blazer-ceket-yeni-burcincelikkurt-445811000,445811000,,,Stradivarius - S / 36 Beden,Stradivarius Kahverengi Blazer / Ceket Yeni Online Satın Al,850.0,,False,Yeni,Kahverengi,,Stradivarius Kahverengi Blazer / Ceket Yeni Online Satın Al,59,9,5,6,0,Ücretsiz Kargo,False,burcincelikkurt,33,False,2026-03-08 14:57:21.630183,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T18:57:31.170369,,,Stradivarius,S / 36 Beden,S / 36 Beden,Yeni,2,True,False,False
https://dolap.com/urun/zara-siyah-bluz-yeni-etiketli-burcincelikkurt-445201493,445201493,,,Zara - XS / 34 Beden,Zara Siyah Bluz Yeni & Etiketli Online Satın Al,430.0,,False,Yeni ve Etiketli,Siyah,,Zara Siyah Bluz Yeni & Etiketli Online Satın Al,47,9,5,41,0,Ücretsiz Kargo,False,burcincelikkurt,33,False,2026-03-08 14:57:32.480381,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T18:57:40.839615,,,Zara,XS / 34 Beden,XS / 34 Beden,Yeni & Etiketli,3,True,False,False
https://dolap.com/urun/zara-gri-hirka-az-kullanilmis-ezgierden-437442002,437442002,,,Zara - S / 36 Beden,Zara Gri Hırka Az Kullanılmış Online Satın Al,495.0,,False,Az Kullanılmış,Gri,,"Bir iki defa giyildi, etiketinden de anlaşılır zaten yeni gibi. Ölçüleri görsellere ekledim. Sedef düğmeli çok şık bi hırka.",124,19,8,30,0,Ücretsiz Kargo,False,ezgierden,51,False,2026-03-08 15:02:54.519927,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T19:00:59.334592,,,Zara,S / 36 Beden,S / 36 Beden,Az Kullanılmış,1,False,False,False
https://dolap.com/urun/diger-siyah-blazer-ceket-az-kullanilmis-minnakiro-445918959,445918959,,,Diğer - S / 36 Beden,Diğer Siyah Blazer / Ceket Az Kullanılmış Online Satın Al,1350.0,,False,Az Kullanılmış,Siyah,,Diğer - S / 36 Beden,20,6,9,100,0,Ücretsiz Kargo,False,minnakiro,1322,False,2026-03-08 15:03:07.984789,20250712,kazak,True,1.0,sold,official_labels_jsonl,sold,2026-03-15T19:01:10.126158,,,Diğer,S / 36 Beden,S / 36 Beden,Az Kullanılmış,1,False,False,True
